,s_name,en_name,lon,lat
218,Carya illinoinensis,Pecan,-97.73531072,30.28302286
219,Carya illinoinensis,Pecan,-97.73517355,30.28294189
220,Carya illinoinensis,Pecan,-97.73516386,30.28293077
221,Carya illinoinensis,Pecan,-97.73516171,30.28279769
222,Carya illinoinensis,Pecan,-97.73494985,30.282826899999996
223,Carya illinoinensis,Pecan,-97.73474279999999,30.28246653
224,Carya illinoinensis,Pecan,-97.73491059,30.28247295
225,Carya illinoinensis,Pecan,-97.72439495,30.28209225
226,Carya illinoinensis,Pecan,-97.72453465,30.28203236
227,Carya illinoinensis,Pecan,-97.72464449,30.28183844
228,Carya illinoinensis,Pecan,-97.72467188,30.28213647
229,Carya illinoinensis,Pecan,-97.72488612,30.2822632
230,Carya illinoinensis,Pecan,-97.73533831,30.27596792
231,Carya illinoinensis,Pecan,-97.73549963,30.27623655
232,Carya illinoinensis,Pecan,-97.73569365,30.27620052
233,Carya illinoinensis,Pecan,-97.73542093,30.27630071
234,Carya illinoinensis,Pecan,-97.73517723,30.27639586
235,Carya illinoinensis,Pecan,-97.73505093,30.27662366
236,Carya illinoinensis,Pecan,-97.7352311,30.2766422
237,Carya illinoinensis,Pecan,-97.73530907,30.27641412
238,Carya illinoinensis,Pecan,-97.73531579,30.27636275
239,Carya illinoinensis,Pecan,-97.73542472,30.27635742
240,Carya illinoinensis,Pecan,-97.7356974,30.2764267
241,Carya illinoinensis,Pecan,-97.73568161,30.27658307
242,Carya illinoinensis,Pecan,-97.7311488,30.28487604
243,Carya illinoinensis,Pecan,-97.73106027,30.28482578
244,Carya illinoinensis,Pecan,-97.73307414,30.28190791
245,Carya illinoinensis,Pecan,-97.7306171,30.28081516
246,Carya illinoinensis,Pecan,-97.73069307,30.28087921
247,Carya illinoinensis,Pecan,-97.73056989,30.28389225
248,Carya illinoinensis,Pecan,-97.72940514,30.28396224
249,Carya illinoinensis,Pecan,-97.7292191,30.28364561
250,Carya illinoinensis,Pecan,-97.73020143,30.28586296
251,Carya illinoinensis,Pecan,-97.72986773,30.28646626
252,Carya illinoinensis,Pecan,-97.7262989,30.28279886
253,Carya illinoinensis,Pecan,-97.72365068,30.283650599999998
254,Carya illinoinensis,Pecan,-97.72206599,30.28440058
255,Carya illinoinensis,Pecan,-97.72229922,30.28468421
256,Carya illinoinensis,Pecan,-97.72254963,30.28487191
257,Carya illinoinensis,Pecan,-97.72259582,30.2848462
258,Carya illinoinensis,Pecan,-97.72263996,30.28490131
259,Carya illinoinensis,Pecan,-97.72267536,30.28493834
260,Carya illinoinensis,Pecan,-97.72289121,30.28510484
261,Carya illinoinensis,Pecan,-97.72310282,30.28519232
262,Carya illinoinensis,Pecan,-97.72314602,30.28514405
263,Carya illinoinensis,Pecan,-97.72310933,30.28410026
264,Carya illinoinensis,Pecan,-97.72328097,30.28424433
265,Carya illinoinensis,Pecan,-97.72326918,30.28424472
266,Carya illinoinensis,Pecan,-97.72337696,30.28537178
267,Carya illinoinensis,Pecan,-97.72346324,30.28543149
268,Carya illinoinensis,Pecan,-97.72620476,30.28254004
269,Carya illinoinensis,Pecan,-97.72338381,30.2832767
270,Carya illinoinensis,Pecan,-97.72403108,30.282653999999997
271,Carya illinoinensis,Pecan,-97.72424401,30.28275836
272,Carya illinoinensis,Pecan,-97.72428934,30.2826765
273,Carya illinoinensis,Pecan,-97.72573487,30.28224175
274,Carya illinoinensis,Pecan,-97.72566661,30.28199126
275,Carya illinoinensis,Pecan,-97.72567020000001,30.282268699999996
276,Carya illinoinensis,Pecan,-97.72559472,30.28228317
277,Carya illinoinensis,Pecan,-97.72546003,30.282354499999997
278,Carya illinoinensis,Pecan,-97.72404086,30.28227072
279,Carya illinoinensis,Pecan,-97.73453488,30.27618291
280,Carya illinoinensis,Pecan,-97.72647038,30.28262559
281,Carya illinoinensis,Pecan,-97.72650044,30.28265046
282,Carya illinoinensis,Pecan,-97.72672914,30.2821376
283,Carya illinoinensis,Pecan,-97.72710924,30.28152672
284,Carya illinoinensis,Pecan,-97.72710341,30.28150639
285,Carya illinoinensis,Pecan,-97.72561609,30.2809287
286,Carya illinoinensis,Pecan,-97.72649368,30.28064124
287,Carya illinoinensis,Pecan,-97.72670227,30.280727000000002
288,Carya illinoinensis,Pecan,-97.72802509,30.27973784
289,Carya illinoinensis,Pecan,-97.72783809,30.27910415
290,Carya illinoinensis,Pecan,-97.72789394,30.27913783
291,Carya illinoinensis,Pecan,-97.72843643,30.27882357
292,Carya illinoinensis,Pecan,-97.72827208,30.27884905
293,Carya illinoinensis,Pecan,-97.72822285,30.27880892
294,Carya illinoinensis,Pecan,-97.72539974,30.2810973
295,Carya illinoinensis,Pecan,-97.724163,30.281313
296,Carya illinoinensis,Pecan,-97.72418408,30.28128337
297,Carya illinoinensis,Pecan,-97.72437749,30.28112745
298,Carya illinoinensis,Pecan,-97.72388411,30.28097183
299,Carya illinoinensis,Pecan,-97.7235598,30.28069077
300,Carya illinoinensis,Pecan,-97.72351316,30.28053049
301,Carya illinoinensis,Pecan,-97.72360659,30.28051212
302,Carya illinoinensis,Pecan,-97.72407064,30.28146522
303,Carya illinoinensis,Pecan,-97.72394234,30.28151525
304,Carya illinoinensis,Pecan,-97.72374757,30.28153912
305,Carya illinoinensis,Pecan,-97.72380607,30.28175189
306,Carya illinoinensis,Pecan,-97.72388624,30.28213275
307,Carya illinoinensis,Pecan,-97.73726888,30.28592101
308,Carya illinoinensis,Pecan,-97.73789764,30.28498006
309,Carya illinoinensis,Pecan,-97.73531159,30.28731394
310,Carya illinoinensis,Pecan,-97.73533814,30.28735444
311,Carya illinoinensis,Pecan,-97.7343912,30.28721907
312,Carya illinoinensis,Pecan,-97.73441861,30.28705779
313,Carya illinoinensis,Pecan,-97.7382136,30.28465166
314,Carya illinoinensis,Pecan,-97.73626669,30.28324158
315,Carya illinoinensis,Pecan,-97.73728179,30.28332186
316,Carya illinoinensis,Pecan,-97.73473343,30.28898942
317,Carya illinoinensis,Pecan,-97.73484002,30.290195299999997
318,Carya illinoinensis,Pecan,-97.73482723,30.29024994
319,Carya illinoinensis,Pecan,-97.73476589,30.29022576
320,Carya illinoinensis,Pecan,-97.73597255,30.29220311
321,Carya illinoinensis,Pecan,-97.73599273,30.29211105
322,Carya illinoinensis,Pecan,-97.73590286,30.29204347
323,Carya illinoinensis,Pecan,-97.7300183,30.2804902
324,Carya illinoinensis,Pecan,-97.73908179,30.28909174
325,Carya illinoinensis,Pecan,-97.72493331,30.28296951
326,Carya illinoinensis,Pecan,-97.72514458,30.27967333
327,Carya illinoinensis,Pecan,-97.72708715,30.27981707
328,Carya illinoinensis,Pecan,-97.73309646,30.27964059
329,Carya illinoinensis,Pecan,-97.73312477,30.27959807
330,Carya illinoinensis,Pecan,-97.7331516,30.27960326
331,Carya illinoinensis,Pecan,-97.73307352,30.27958369
332,Carya illinoinensis,Pecan,-97.73315961,30.27953882
333,Carya illinoinensis,Pecan,-97.73648266,30.28196355
334,Carya illinoinensis,Pecan,-97.7338643,30.28971098
335,Carya illinoinensis,Pecan,-97.73377308,30.28967123
336,Carya illinoinensis,Pecan,-97.73370607,30.28956819
337,Carya illinoinensis,Pecan,-97.73365739,30.28952262
338,Carya illinoinensis,Pecan,-97.7335858,30.28951484
339,Carya illinoinensis,Pecan,-97.73371052,30.28940708
340,Carya illinoinensis,Pecan,-97.72340546,30.28666154
341,Carya illinoinensis,Pecan,-97.72334084,30.28661809
342,Carya illinoinensis,Pecan,-97.72324547,30.28674579
343,Carya illinoinensis,Pecan,-97.72560276,30.27916383
344,Carya illinoinensis,Pecan,-97.72540453,30.27914074
345,Carya illinoinensis,Pecan,-97.74310159,30.28874627
346,Carya illinoinensis,Pecan,-97.72447661,30.2802202
347,Carya illinoinensis,Pecan,-97.72446526,30.2801791
348,Carya illinoinensis,Pecan,-97.72443059,30.27997036
349,Carya illinoinensis,Pecan,-97.7239196,30.28737018
350,Carya illinoinensis,Pecan,-97.73492653,30.28906658
351,Carya illinoinensis,Pecan,-97.73479386,30.28953142
352,Carya illinoinensis,Pecan,-97.734875,30.28973747
353,Carya illinoinensis,Pecan,-97.73473034,30.28878853
354,Carya illinoinensis,Pecan,-97.73540479,30.28004105
355,Carya illinoinensis,Pecan,-97.73539026,30.27999802
356,Carya illinoinensis,Pecan,-97.73459755,30.28379197
357,Carya illinoinensis,Pecan,-97.73474642,30.28396733
358,Carya illinoinensis,Pecan,-97.73472187,30.28402968
359,Carya illinoinensis,Pecan,-97.73484169,30.28416649
360,Carya illinoinensis,Pecan,-97.73478795,30.28450754
361,Carya illinoinensis,Pecan,-97.73479834,30.28448616
362,Carya illinoinensis,Pecan,-97.73587157,30.29204014
363,Carya illinoinensis,Pecan,-97.73587916,30.29202109
364,Carya illinoinensis,Pecan,-97.73586575,30.29198259
365,Carya illinoinensis,Pecan,-97.73579008,30.29191783
366,Carya illinoinensis,Pecan,-97.73570444,30.29181683
367,Carya illinoinensis,Pecan,-97.73568923,30.2918174
368,Carya illinoinensis,Pecan,-97.73564067,30.29183732
369,Carya illinoinensis,Pecan,-97.73566258,30.29180663
370,Carya illinoinensis,Pecan,-97.73562835,30.29178825
371,Carya illinoinensis,Pecan,-97.73557826,30.29166322
372,Carya illinoinensis,Pecan,-97.73551035,30.29165937
373,Carya illinoinensis,Pecan,-97.73537185,30.29147917
374,Carya illinoinensis,Pecan,-97.73503894,30.29113069
375,Carya illinoinensis,Pecan,-97.73497492,30.29081747
376,Carya illinoinensis,Pecan,-97.73479267,30.29075704
377,Carya illinoinensis,Pecan,-97.73624282,30.29241318
378,Carya illinoinensis,Pecan,-97.73613482,30.2923457
379,Carya illinoinensis,Pecan,-97.7361348,30.29226079
380,Carya illinoinensis,Pecan,-97.73551534,30.29158466
381,Carya illinoinensis,Pecan,-97.73549588,30.29144249
382,Carya illinoinensis,Pecan,-97.73543001,30.29144335
383,Carya illinoinensis,Pecan,-97.73540403,30.291396399999996
384,Carya illinoinensis,Pecan,-97.73528112,30.291306199999998
385,Carya illinoinensis,Pecan,-97.73523666,30.29127606
386,Carya illinoinensis,Pecan,-97.73523974,30.29124906
387,Carya illinoinensis,Pecan,-97.73520779,30.29121079
388,Carya illinoinensis,Pecan,-97.73523395,30.29115904
389,Carya illinoinensis,Pecan,-97.73508426,30.29099791
390,Carya illinoinensis,Pecan,-97.73503945,30.29093705
391,Carya illinoinensis,Pecan,-97.73503662,30.29099365
392,Carya illinoinensis,Pecan,-97.73501632,30.29091727
393,Carya illinoinensis,Pecan,-97.735084,30.29088121
394,Carya illinoinensis,Pecan,-97.73564903,30.29156397
395,Carya illinoinensis,Pecan,-97.73363591,30.28870162
396,Carya illinoinensis,Pecan,-97.73382865,30.28876733
397,Carya illinoinensis,Pecan,-97.73389486,30.28847843
398,Carya illinoinensis,Pecan,-97.73366047,30.28619135
399,Carya illinoinensis,Pecan,-97.73600104,30.29201154
400,Carya illinoinensis,Pecan,-97.73394468,30.28613705
401,Carya illinoinensis,Pecan,-97.73388216,30.28594279
402,Carya illinoinensis,Pecan,-97.73397007,30.28577014
403,Carya illinoinensis,Pecan,-97.73433084,30.28487491
404,Carya illinoinensis,Pecan,-97.73436986,30.28500785
405,Carya illinoinensis,Pecan,-97.73382367,30.28106058
406,Carya illinoinensis,Pecan,-97.73421819,30.28077113
407,Carya illinoinensis,Pecan,-97.73408223,30.28094333
408,Carya illinoinensis,Pecan,-97.73406827,30.28097088
409,Carya illinoinensis,Pecan,-97.73402036,30.28090321
410,Carya illinoinensis,Pecan,-97.73394117,30.28094283
411,Carya illinoinensis,Pecan,-97.73401725,30.28103695
412,Carya illinoinensis,Pecan,-97.73366291,30.28148445
413,Carya illinoinensis,Pecan,-97.73373738,30.28145939
414,Carya illinoinensis,Pecan,-97.73369077,30.28153865
415,Carya illinoinensis,Pecan,-97.73368353,30.28154359
416,Carya illinoinensis,Pecan,-97.73370651,30.28154931
417,Carya illinoinensis,Pecan,-97.73369196,30.28160677
418,Carya illinoinensis,Pecan,-97.73357781,30.28195625
