,id,type_ids,lat,lon,parent_id,scientific_name,en_name,en_wikipedia_url
48,620025,93,30.29004585,-97.73742807,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
49,620032,93,30.28952062,-97.73980429,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
50,620044,93,30.28680376,-97.73911190000001,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
51,620050,93,30.28693203,-97.73938209,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
52,620051,93,30.28695611,-97.73946159,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
53,620055,93,30.287076000000003,-97.74018074,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
54,620155,93,30.28813573,-97.74094161,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
55,620158,93,30.286996999999996,-97.73992614,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
56,620172,93,30.290726300000003,-97.74063268,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
57,620173,93,30.29079397,-97.73869374,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
58,667604,93,30.265826490784303,-97.7391827581571,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
59,667957,93,30.2937409711093,-97.7393667138657,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
60,668027,93,30.261713783894702,-97.7491434092214,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
61,668113,93,30.2704229635477,-97.745622663852,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
