scientific_name,en_name,lat,lon
Carya illinoinensis,Pecan,30.28209225,-97.72439495
Carya illinoinensis,Pecan,30.28203236,-97.72453465
Carya illinoinensis,Pecan,30.28183844,-97.72464449
Carya illinoinensis,Pecan,30.28213647,-97.72467188
Carya illinoinensis,Pecan,30.2822632,-97.72488612
Carya illinoinensis,Pecan,30.27596792,-97.73533831
Carya illinoinensis,Pecan,30.27623655,-97.73549963
Carya illinoinensis,Pecan,30.27620052,-97.73569365
Carya illinoinensis,Pecan,30.27630071,-97.73542093
Carya illinoinensis,Pecan,30.27639586,-97.73517723
Carya illinoinensis,Pecan,30.27662366,-97.73505093
Carya illinoinensis,Pecan,30.2766422,-97.7352311
Carya illinoinensis,Pecan,30.27641412,-97.73530907
Carya illinoinensis,Pecan,30.27636275,-97.73531579
Carya illinoinensis,Pecan,30.27635742,-97.73542472
Carya illinoinensis,Pecan,30.2764267,-97.7356974
Carya illinoinensis,Pecan,30.27658307,-97.73568161
Carya illinoinensis,Pecan,30.28487604,-97.7311488
Carya illinoinensis,Pecan,30.28482578,-97.73106027
Carya illinoinensis,Pecan,30.28190791,-97.73307414
Carya illinoinensis,Pecan,30.28081516,-97.7306171
Carya illinoinensis,Pecan,30.28087921,-97.73069307
Carya illinoinensis,Pecan,30.28389225,-97.73056989
Carya illinoinensis,Pecan,30.28396224,-97.72940514
Carya illinoinensis,Pecan,30.28364561,-97.7292191
Carya illinoinensis,Pecan,30.28586296,-97.73020143
Carya illinoinensis,Pecan,30.28646626,-97.72986773
Carya illinoinensis,Pecan,30.28279886,-97.7262989
Carya illinoinensis,Pecan,30.283650599999998,-97.72365068
Carya illinoinensis,Pecan,30.28440058,-97.72206599
Carya illinoinensis,Pecan,30.28468421,-97.72229922
Carya illinoinensis,Pecan,30.28487191,-97.72254963
Carya illinoinensis,Pecan,30.2848462,-97.72259582
Carya illinoinensis,Pecan,30.28490131,-97.72263996
Carya illinoinensis,Pecan,30.28493834,-97.72267536
Carya illinoinensis,Pecan,30.28510484,-97.72289121
Carya illinoinensis,Pecan,30.28519232,-97.72310282
Carya illinoinensis,Pecan,30.28514405,-97.72314602
Carya illinoinensis,Pecan,30.28410026,-97.72310933
Carya illinoinensis,Pecan,30.28424433,-97.72328097
Carya illinoinensis,Pecan,30.28424472,-97.72326918
Carya illinoinensis,Pecan,30.28537178,-97.72337696
Carya illinoinensis,Pecan,30.28543149,-97.72346324
Carya illinoinensis,Pecan,30.28254004,-97.72620476
Carya illinoinensis,Pecan,30.2832767,-97.72338381
Carya illinoinensis,Pecan,30.282653999999997,-97.72403108
Carya illinoinensis,Pecan,30.28275836,-97.72424401
Carya illinoinensis,Pecan,30.2826765,-97.72428934
Carya illinoinensis,Pecan,30.28224175,-97.72573487
Carya illinoinensis,Pecan,30.28199126,-97.72566661
Carya illinoinensis,Pecan,30.282268699999996,-97.72567020000001
Carya illinoinensis,Pecan,30.28228317,-97.72559472
Carya illinoinensis,Pecan,30.282354499999997,-97.72546003
Carya illinoinensis,Pecan,30.28227072,-97.72404086
Carya illinoinensis,Pecan,30.27618291,-97.73453488
Carya illinoinensis,Pecan,30.28262559,-97.72647038
Carya illinoinensis,Pecan,30.28265046,-97.72650044
Carya illinoinensis,Pecan,30.2821376,-97.72672914
Carya illinoinensis,Pecan,30.28152672,-97.72710924
Carya illinoinensis,Pecan,30.28150639,-97.72710341
Carya illinoinensis,Pecan,30.2809287,-97.72561609
Carya illinoinensis,Pecan,30.28064124,-97.72649368
Carya illinoinensis,Pecan,30.280727000000002,-97.72670227
Carya illinoinensis,Pecan,30.27973784,-97.72802509
Carya illinoinensis,Pecan,30.27910415,-97.72783809
Carya illinoinensis,Pecan,30.27913783,-97.72789394
Carya illinoinensis,Pecan,30.27882357,-97.72843643
