,s_name_x,en_name_x,lon_x,lat_x,s_name_y,en_name_y,lon_y,lat_y,distance_ft,resistance
1339189,Carya illinoinensis,Pecan,-97.73389014,30.28124466,Morus alba,White mulberry,-97.73396261,30.28117523,34.099864056827535,1
1359425,Carya illinoinensis,Pecan,-97.73397072,30.27861105,Morus alba,White mulberry,-97.73393541,30.27860789,11.183858077375719,1
1359426,Carya illinoinensis,Pecan,-97.73397072,30.27861105,Morus alba,White mulberry,-97.73397173,30.27847496,49.64837166006515,1
1400739,Carya illinoinensis,Pecan,-97.73466007,30.27625198,Parkinsonia aculeata,Mexican palo verde,-97.73465488,30.27614813,37.92106177818957,1
1420287,Carya illinoinensis,Pecan,-97.73461555,30.27644459,Morus alba,White mulberry,-97.73465514,30.27641101,17.48277000115458,1
1440573,Carya illinoinensis,Pecan,-97.73457088,30.27637564,Morus alba,White mulberry,-97.73465514,30.27641101,29.516262064583653,1
1562042,Carya illinoinensis,Pecan,-97.73393266,30.28745257,Ficus carica,Common fig,-97.73384825149259,30.2874690889196,27.2645298010823,1
1562043,Carya illinoinensis,Pecan,-97.73393266,30.28745257,Ficus carica,Common fig,-97.7338498656414,30.2874061614249,31.09494035173185,1
1562044,Carya illinoinensis,Pecan,-97.73393266,30.28745257,Ficus carica,Common fig,-97.7338498656414,30.2874061614249,31.09494035173185,1
1563356,Carya illinoinensis,Pecan,-97.73393266,30.28745257,Morus rubra,Red mulberry,-97.73408634,30.28744854,48.434271865796006,1
1582328,Carya illinoinensis,Pecan,-97.73391132,30.28747769,Ficus carica,Common fig,-97.73384825149259,30.2874690889196,20.113960018713463,1
1582329,Carya illinoinensis,Pecan,-97.73391132,30.28747769,Ficus carica,Common fig,-97.7338498656414,30.2874061614249,32.491599229647264,1
1582330,Carya illinoinensis,Pecan,-97.73391132,30.28747769,Ficus carica,Common fig,-97.7338498656414,30.2874061614249,32.491599229647264,1
1583574,Carya illinoinensis,Pecan,-97.73391132,30.28747769,Diospyros virginiana,American persimmon,-97.73377393,30.2875161,45.492114017422224,1
1583643,Carya illinoinensis,Pecan,-97.73391132,30.28747769,Morus rubra,Red mulberry,-97.73400205,30.28758927,49.73798104072693,1
2131283,Carya illinoinensis,Pecan,-97.73531072,30.28302286,Prosopis,Mesquite,-97.73524868,30.28292823,39.670835350145566,1
2151569,Carya illinoinensis,Pecan,-97.73517355,30.28294189,Prosopis,Mesquite,-97.73524868,30.28292823,24.187313773168995,1
2171855,Carya illinoinensis,Pecan,-97.73516386,30.28293077,Prosopis,Mesquite,-97.73524868,30.28292823,26.73711269191176,1
2212505,Carya illinoinensis,Pecan,-97.73494985,30.282826899999996,Acacia longifolia,Sydney golden wattle,-97.73482297,30.2828219,40.01295610383933,1
2577655,Carya illinoinensis,Pecan,-97.7356974,30.2764267,Morus rubra,Red mulberry,-97.73573448,30.27637621,21.811631200328446,1
3368481,Carya illinoinensis,Pecan,-97.73453488,30.27618291,Parkinsonia aculeata,Mexican palo verde,-97.73465488,30.27614813,39.87883242439931,1
4118333,Carya illinoinensis,Pecan,-97.73473343,30.28898942,Morus alba,White mulberry,-97.73470208,30.28887806,41.80864546778677,1
4219773,Carya illinoinensis,Pecan,-97.73599273,30.29211105,Morus alba,White mulberry,-97.73614446,30.29209261,48.26649895879567,1
4240060,Carya illinoinensis,Pecan,-97.73590286,30.29204347,Morus alba,White mulberry,-97.73589793,30.29192672,42.6201779491756,1
4828345,Carya illinoinensis,Pecan,-97.73479386,30.28953142,Morus alba,White mulberry,-97.73481364,30.28964836,43.11381998507197,1
4848631,Carya illinoinensis,Pecan,-97.734875,30.28973747,Morus alba,White mulberry,-97.73481364,30.28964836,37.820788698685234,1
4850896,Carya illinoinensis,Pecan,-97.734875,30.28973747,Robinia pseudoacacia,Black locust,-97.73483999,30.28984571,40.9984946375998,1
4868915,Carya illinoinensis,Pecan,-97.73473034,30.28878853,Morus alba,White mulberry,-97.73470208,30.28887806,33.85314833360424,1
4991384,Carya illinoinensis,Pecan,-97.73484169,30.28416649,Prunus cerasifera,Cherry plum,-97.73469726,30.28419706,46.846383671394626,1
5051500,Carya illinoinensis,Pecan,-97.73587157,30.29204014,Morus alba,White mulberry,-97.73589793,30.29192672,42.20199218705122,1
5071786,Carya illinoinensis,Pecan,-97.73587916,30.29202109,Morus alba,White mulberry,-97.73589793,30.29192672,34.93140013790834,1
5092072,Carya illinoinensis,Pecan,-97.73586575,30.29198259,Morus alba,White mulberry,-97.73589793,30.29192672,22.763659848045286,1
5112358,Carya illinoinensis,Pecan,-97.73579008,30.29191783,Morus alba,White mulberry,-97.73589793,30.29192672,34.12758469564309,1
5276898,Carya illinoinensis,Pecan,-97.73537185,30.29147917,Borassus,Palymra palm,-97.73531353,30.29147895,18.37126565238742,1
5276899,Carya illinoinensis,Pecan,-97.73537185,30.29147917,Borassus,Palymra palm,-97.73534676,30.29144043,16.19265735957147,1
5276900,Carya illinoinensis,Pecan,-97.73537185,30.29147917,Borassus,Palymra palm,-97.7352994,30.29139365,38.655049682321504,1
5276901,Carya illinoinensis,Pecan,-97.73537185,30.29147917,Borassus,Palymra palm,-97.73528574,30.29140833,37.465290474713505,1
5416645,Carya illinoinensis,Pecan,-97.73551534,30.29158466,Morus alba,White mulberry,-97.73554985,30.29151146,28.832159917072506,1
5436931,Carya illinoinensis,Pecan,-97.73549588,30.29144249,Morus alba,White mulberry,-97.73554985,30.29151146,30.366267375144258,1
5439187,Carya illinoinensis,Pecan,-97.73549588,30.29144249,Borassus,Palymra palm,-97.73534676,30.29144043,46.9795715986115,1
5457217,Carya illinoinensis,Pecan,-97.73543001,30.29144335,Morus alba,White mulberry,-97.73554985,30.29151146,45.19369560336512,1
5459472,Carya illinoinensis,Pecan,-97.73543001,30.29144335,Borassus,Palymra palm,-97.73531353,30.29147895,38.92246062147396,1
5459473,Carya illinoinensis,Pecan,-97.73543001,30.29144335,Borassus,Palymra palm,-97.73534676,30.29144043,26.245801299456037,1
5459474,Carya illinoinensis,Pecan,-97.73543001,30.29144335,Borassus,Palymra palm,-97.7352994,30.29139365,44.96078383820684,1
5459475,Carya illinoinensis,Pecan,-97.73543001,30.29144335,Borassus,Palymra palm,-97.73528574,30.29140833,47.207410303819245,1
5477504,Carya illinoinensis,Pecan,-97.73540403,30.291396399999996,Morus alba,White mulberry,-97.7353077,30.29134233,36.19224549576061,1
5479758,Carya illinoinensis,Pecan,-97.73540403,30.291396399999996,Borassus,Palymra palm,-97.73531353,30.29147895,41.46847258923029,1
5479759,Carya illinoinensis,Pecan,-97.73540403,30.291396399999996,Borassus,Palymra palm,-97.73534676,30.29144043,24.155008589121994,1
5479760,Carya illinoinensis,Pecan,-97.73540403,30.291396399999996,Borassus,Palymra palm,-97.7352994,30.29139365,32.97426424992311,1
5479761,Carya illinoinensis,Pecan,-97.73540403,30.291396399999996,Borassus,Palymra palm,-97.73528574,30.29140833,37.51527734635596,1
5497790,Carya illinoinensis,Pecan,-97.73528112,30.291306199999998,Morus alba,White mulberry,-97.7353077,30.29134233,15.6152132358456,1
5500046,Carya illinoinensis,Pecan,-97.73528112,30.291306199999998,Borassus,Palymra palm,-97.7352994,30.29139365,32.41837154320226,1
5500047,Carya illinoinensis,Pecan,-97.73528112,30.291306199999998,Borassus,Palymra palm,-97.73528574,30.29140833,37.28672673435459,1
5518076,Carya illinoinensis,Pecan,-97.73523666,30.29127606,Morus alba,White mulberry,-97.7353077,30.29134233,32.94328426975207,1
5520332,Carya illinoinensis,Pecan,-97.73523666,30.29127606,Borassus,Palymra palm,-97.7352994,30.29139365,47.2319734696091,1
5538362,Carya illinoinensis,Pecan,-97.73523974,30.29124906,Morus alba,White mulberry,-97.7353077,30.29134233,40.200332589810195,1
5700649,Carya illinoinensis,Pecan,-97.73564903,30.29156397,Morus alba,White mulberry,-97.73554985,30.29151146,36.647479846633,1
5802082,Carya illinoinensis,Pecan,-97.73600104,30.29201154,Morus alba,White mulberry,-97.73589793,30.29192672,44.86028272298881,1
5802083,Carya illinoinensis,Pecan,-97.73600104,30.29201154,Morus alba,White mulberry,-97.7360248,30.29195487,21.987016892960135,1
5823421,Carya illinoinensis,Pecan,-97.73394468,30.28613705,Morus rubra,Red mulberry,-97.73398952,30.28626728,49.56500208270438,1
5824668,Carya illinoinensis,Pecan,-97.73394468,30.28613705,Cornus mas,Cornelian cherry dogwood,-97.73390697,30.286051899999997,33.257806765872786,1
5824669,Carya illinoinensis,Pecan,-97.73394468,30.28613705,Cornus mas,Cornelian cherry dogwood,-97.73387018,30.28601782,49.42425296152585,1
5843708,Carya illinoinensis,Pecan,-97.73388216,30.28594279,Morus rubra,Red mulberry,-97.73384611,30.28601794,29.67474586821359,1
5844954,Carya illinoinensis,Pecan,-97.73388216,30.28594279,Cornus mas,Cornelian cherry dogwood,-97.73390697,30.286051899999997,40.56476335360752,1
5844955,Carya illinoinensis,Pecan,-97.73388216,30.28594279,Cornus mas,Cornelian cherry dogwood,-97.73387018,30.28601782,27.63084047196504,1
5844956,Carya illinoinensis,Pecan,-97.73388216,30.28594279,Cornus mas,Cornelian cherry dogwood,-97.73394154,30.28589426,25.755791550209718,1
5844957,Carya illinoinensis,Pecan,-97.73388216,30.28594279,Cornus mas,Cornelian cherry dogwood,-97.73386712,30.28599147,18.380233443884904,1
5844958,Carya illinoinensis,Pecan,-97.73388216,30.28594279,Crataegus laevigata,Midland hawthorn,-97.7338755,30.28598867,16.868586224283543,1
5865242,Carya illinoinensis,Pecan,-97.73397007,30.28577014,Cornus mas,Cornelian cherry dogwood,-97.73394154,30.28589426,46.16389120361859,1
5904567,Carya illinoinensis,Pecan,-97.73436986,30.28500785,Morus rubra,Red mulberry,-97.73429584,30.28512522,48.75576195009712,1
5904568,Carya illinoinensis,Pecan,-97.73436986,30.28500785,Morus rubra,Red mulberry,-97.73430815,30.28509915,38.565594158394326,1
